QueryString,course1_code,course2_code,course3_code,course4_code,course5_code
Mathematical Statistics,STAT 330,STAT 331,STAT 322, STAT 333, STAT 334
computer science,CS 115,CS 116,CS 135,CS 136,CS 137
English language,ENGL 305A,ENGL 305B,ENGL 306B,ENGL 306D,ENGL 309E
Macro and Micro economics,ECON 101,ECON 102,ECON 206,ECON 207,ECON 100
Software engineering,SE 463,SE 464,SE 465,SE 490,SE 498
Mathematics,MATH 136,MATH 137,MATH 138,MATH 207,MATH 225
Advanced Mathematics,MATH 145,MATH 146,MATH 147,MATH 211,MATH 212
Chemical Engineering,CHE 100,CHE 101,CHE 102,CHE 120,CHE 161
Actuarial Science,ENGL 378,ACTSC 432,MTHEL 300,ACTSC 468,ACTSC 453
Computer Science database,CS 138,CS 234,CS 240,CS 240E,CS 137
Mathematical Business,MATBUS 371,MATBUS 470,MATBUS 471,MATBUS 472,
Kinesiology,KIN 104,KIN 104L,KIN 121,KIN 121L,KIN 140L
Philosophy,PHIL 100J,PHIL 101,PHIL 110A,PHIL 110B,PHIL 118J
pharmacology,PHARM 129,PHARM 141,PHARM 155,PHARM 141,PHARM 226
Pure Mathematics,PMATH 351,PMATH 352,PMATH 365,PMATH 370,PMATH 399
Health Sciences,HLTH 380,HLTH 350,HLTH 352,HLTH 355,HLTH 358
sociology,SOC 101,SOC 200,SOC 204R,SOC 207R,SOC 210
Physics,PHYS 111,PHYS 112,PHYS 124,PHYS 111L,PHYS 112L
Psychology,PSYCH 101,PSYCH 212,PSYCH 218,PSYCH 230,PSYCH 213R
Religinoal Studies,RS 121,RS 123,RS 150,RS 180,RS 110
Social Development,SDS 210R,SDS 231R,SDS 215R,SDS 251R,SDS 240R
Spanish,SPAN 101,SPAN 102,SPAN 210,SPAN 217,SPAN 201A
Systems Design Engineering,SYDE 101,SYDE 161,SYDE 162,SYDE 101L,SYDE 121
